|id     |face_id|status|accepted_by|created_at             |
|112,199|440,940|0     |11         |2025-11-25 17:56:05.149|
|112,200|440,941|0     |11         |2025-11-25 17:56:10.857|
|112,201|440,943|0     |11         |2025-11-25 17:56:20.984|
|112,202|440,944|0     |11         |2025-11-25 17:56:22.558|
|112,203|440,945|0     |11         |2025-11-25 17:56:26.06 |
|112,204|440,946|0     |11         |2025-11-25 17:56:29.532|
|112,205|440,947|0     |11         |2025-11-25 17:56:30.4  |
|112,206|440,948|0     |11         |2025-11-25 17:56:31.815|
|112,207|440,949|0     |11         |2025-11-25 17:56:47.908|
|112,208|440,950|0     |11         |2025-11-25 17:56:49.047|
|112,209|440,956|0     |11         |2025-11-25 17:58:10.603|
|112,210|440,958|0     |11         |2025-11-25 17:58:19.822|
|112,211|440,962|0     |1          |2025-11-25 17:59:35.171|
|112,212|440,968|0     |1          |2025-11-25 18:00:08.476|
|112,213|440,974|0     |11         |2025-11-25 18:01:04.137|
|112,214|440,979|0     |11         |2025-11-25 18:01:32.175|
|112,215|440,980|0     |1          |2025-11-25 18:01:41.656|
|112,216|440,981|0     |11         |2025-11-25 18:02:44.49 |
|112,217|440,987|0     |11         |2025-11-25 18:06:26.656|
|112,218|441,013|0     |1          |2025-11-25 18:10:41.665|
|112,219|441,014|0     |11         |2025-11-25 18:10:51.691|
|112,220|441,016|0     |11         |2025-11-25 18:11:03.044|
|112,221|441,017|0     |11         |2025-11-25 18:11:04.967|
|112,222|441,021|0     |11         |2025-11-25 18:12:58.965|
|112,223|441,022|0     |1          |2025-11-25 18:13:14.418|
|112,224|441,046|0     |11         |2025-11-25 18:18:39.248|
|112,225|441,058|0     |1          |2025-11-25 18:20:36.789|
|112,226|441,064|0     |11         |2025-11-25 18:21:52.057|
|112,227|441,067|0     |11         |2025-11-25 18:22:22.11 |
|112,228|441,088|0     |11         |2025-11-25 18:25:48.498|
|112,229|441,096|0     |11         |2025-11-25 18:26:58.199|
|112,230|441,099|0     |11         |2025-11-25 18:27:21.437|
|112,231|441,103|0     |11         |2025-11-25 18:28:27.048|
|112,232|441,104|0     |11         |2025-11-25 18:28:29.892|
|112,233|441,106|0     |11         |2025-11-25 18:28:59.566|
|112,234|441,107|0     |11         |2025-11-25 18:29:03.2  |
|112,235|441,111|0     |1          |2025-11-25 18:30:37.12 |
|112,236|441,112|0     |1          |2025-11-25 18:30:40.319|
|112,237|441,122|0     |11         |2025-11-25 18:32:45.174|
|112,238|441,123|0     |11         |2025-11-25 18:32:45.418|
|112,239|441,140|0     |11         |2025-11-25 18:41:15.545|
|112,240|441,163|0     |11         |2025-11-25 18:53:42.34 |
|112,241|441,174|0     |11         |2025-11-25 19:01:12.249|
|112,242|441,176|0     |1          |2025-11-25 19:02:00.373|
|112,243|441,177|0     |1          |2025-11-25 19:02:06.802|
|112,244|441,179|0     |1          |2025-11-25 19:02:11.394|
|112,245|441,180|0     |1          |2025-11-25 19:02:13.678|
|112,246|441,183|0     |11         |2025-11-25 19:03:06.664|
|112,247|441,191|0     |11         |2025-11-25 19:07:37.39 |
|112,248|441,198|0     |1          |2025-11-25 19:09:09.154|
|112,249|441,215|0     |11         |2025-11-25 19:17:58.462|
|112,250|441,239|0     |11         |2025-11-25 19:30:37.636|
|112,251|441,247|0     |11         |2025-11-25 19:33:22.094|
|112,252|441,320|0     |11         |2025-11-25 20:10:54.68 |
|112,253|441,326|0     |11         |2025-11-25 20:17:26.753|
|112,254|441,327|0     |11         |2025-11-25 20:17:38.756|
|112,255|441,329|0     |11         |2025-11-25 20:17:48.139|
|112,256|441,339|0     |11         |2025-11-25 20:20:38.33 |
|112,257|441,342|0     |1          |2025-11-25 20:24:45.867|
|112,258|441,365|0     |11         |2025-11-25 20:38:21.87 |
|112,259|441,375|0     |11         |2025-11-25 20:43:46.178|
|112,260|441,377|0     |1          |2025-11-25 20:53:20.583|
|112,261|441,378|0     |1          |2025-11-25 20:53:25.751|
|112,262|441,379|0     |1          |2025-11-25 20:53:30.641|
|112,263|441,380|0     |1          |2025-11-25 20:53:32.932|
|112,264|441,381|0     |1          |2025-11-25 20:53:36.747|
|112,265|441,382|0     |1          |2025-11-25 20:53:43.875|
|112,266|441,383|0     |1          |2025-11-25 20:57:06.316|
|112,267|441,385|0     |1          |2025-11-25 20:59:06.577|
|112,268|441,396|0     |11         |2025-11-25 21:08:18.444|
|112,269|441,414|0     |11         |2025-11-25 21:35:22.485|
|112,270|441,415|0     |11         |2025-11-25 21:35:38.241|
|112,271|441,416|0     |11         |2025-11-25 21:35:53.934|
|112,272|441,417|0     |11         |2025-11-25 21:36:12.014|
|112,273|441,420|0     |11         |2025-11-25 21:36:34.501|
|112,274|441,422|0     |11         |2025-11-25 21:38:31.26 |
|112,275|441,431|0     |1          |2025-11-25 21:43:59.336|
|112,276|441,433|0     |1          |2025-11-25 21:56:37.612|
|112,277|441,434|0     |11         |2025-11-25 21:58:11.345|
|112,278|441,440|0     |1          |2025-11-25 22:29:21.469|
|112,279|441,442|0     |1          |2025-11-25 22:29:31.885|
|112,280|441,443|0     |1          |2025-11-25 22:29:33.986|
|112,281|441,444|0     |1          |2025-11-25 22:35:39.554|
|112,282|441,458|0     |11         |2025-11-25 23:08:37.812|
|112,283|441,461|0     |11         |2025-11-25 23:44:46.591|
|112,284|441,462|0     |1          |2025-11-25 23:51:11.107|
|112,285|441,464|0     |1          |2025-11-26 00:22:39.592|
