|id                                                                     |author            |filename                                                       |dateexecuted              |orderexecuted|exectype|md5sum                            |description                                                                                                                                                                                                                                               |comments           |tag   |liquibase|contexts|labels|deployment_id|
|add-face_detections_uuid-column                                        |mark.rufin        |sql/2.0.0/1-face-detections-table.xml                          |2025-12-17 01:47:00.814565|61           |EXECUTED|8:6891202e705fa9c62c3aa854a5baf6c7|addColumn tableName=face_detections                                                                                                                                                                                                                       |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|add-face_detections-frame_image-column                                 |dmytro.yarmoshchuk|sql/2.0.0/1-face-detections-table.xml                          |2025-12-17 01:47:00.84601 |62           |MARK_RAN|8:e69b63d40d57dfef384bbc31f35eb589|addColumn tableName=face_detections                                                                                                                                                                                                                       |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|create-table-face-list-items                                           |dmytro.yarmoshchuk|sql/2.0.0/3-face-list-items-table.xml                          |2025-12-17 01:47:00.936386|63           |EXECUTED|8:018b2c19ff1b9c8b0fd418f20f6988bf|createTable tableName=face_list_items                                                                                                                                                                                                                     |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|create-table-face-list-items-images                                    |oleg.syvyniuk     |sql/2.0.0/3-face-list-items-table.xml                          |2025-12-17 01:47:00.975807|64           |EXECUTED|8:5870d0600209522633743321329566dc|createTable tableName=face_list_items_images                                                                                                                                                                                                              |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|create-table-face-list-items-images-list-item-id-index                 |oleg.syvyniuk     |sql/2.0.0/3-face-list-items-table.xml                          |2025-12-17 01:47:00.999369|65           |EXECUTED|8:0fd9cbe9a47de85532940f7ba7e14c88|createIndex indexName=list_item_id, tableName=face_list_items_images                                                                                                                                                                                      |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|add-face_lists_items-closed_at-column                                  |mark.rufin        |sql/2.0.0/3-face-list-items-table.xml                          |2025-12-17 01:47:01.005989|66           |MARK_RAN|8:b1f6de0b40ffd33ff59e812b18ed534e|addColumn tableName=face_list_items                                                                                                                                                                                                                       |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|add-face_list_items_images-points-column                               |mark.rufin        |sql/2.0.0/3-face-list-items-table.xml                          |2025-12-17 01:47:01.020886|67           |EXECUTED|8:7b979bf92c3888e8337022cf209ff7ea|addColumn tableName=face_list_items_images                                                                                                                                                                                                                |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|divide-face-list-items-expiration-settings-into-separate-fields        |dmytro.yarmoshchuk|sql/2.0.0/3-face-list-items-table.xml                          |2025-12-17 01:47:01.089797|68           |EXECUTED|8:e9904ea9c9d04aed428d3e078695cdcc|addColumn tableName=face_list_items; createIndex indexName=IDX__face_list_items__expiration_settings_date, tableName=face_list_items                                                                                                                      |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|create-table-face-lists                                                |dmytro.yarmoshchuk|sql/2.0.0/4-face-lists-table.xml                               |2025-12-17 01:47:01.137577|69           |EXECUTED|8:955624637ff706d241795e51af222adc|createTable tableName=face_lists                                                                                                                                                                                                                          |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|modify-list-permissions-not-null                                       |mark.rufin        |sql/2.0.0/4-face-lists-table.xml                               |2025-12-17 01:47:01.162325|70           |EXECUTED|8:ffc47c8b72a4063c0c374217f5d0f2f0|addNotNullConstraint columnName=list_permissions, tableName=face_lists                                                                                                                                                                                    |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|drop-face_lists-enabled-column                                         |mark.rufin        |sql/2.0.0/4-face-lists-table.xml                               |2025-12-17 01:47:01.190471|71           |EXECUTED|8:00974ebca5f30d2626215496c6facf95|dropColumn columnName=id, tableName=face_lists                                                                                                                                                                                                            |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|drop-face_lists-streams-column                                         |mark.rufin        |sql/2.0.0/4-face-lists-table.xml                               |2025-12-17 01:47:01.206181|72           |EXECUTED|8:594d0dc21b87caabf5ff563e577b97a4|dropColumn columnName=id, tableName=face_lists                                                                                                                                                                                                            |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|add-face_lists-analytics_ids-column                                    |mark.rufin        |sql/2.0.0/4-face-lists-table.xml                               |2025-12-17 01:47:01.219458|73           |EXECUTED|8:75c560ea7347e3a2c285df373fee607d|addColumn tableName=face_lists                                                                                                                                                                                                                            |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|add-show-popup-for-internal-notifications-column-face-detection        |dmytro.yarmoshchuk|sql/2.0.0/4-face-lists-table.xml                               |2025-12-17 01:47:01.236742|74           |EXECUTED|8:e157760dda642c9829355096b6323915|addColumn tableName=face_lists                                                                                                                                                                                                                            |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
